Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,STATE
225,3/19/2020,6:00 PM,Ladakh,8,0,0,0,8,LADAKH
226,3/19/2020,6:00 PM,Uttar Pradesh,18,1,9,0,19,UTTAR PRADESH
227,3/19/2020,6:00 PM,Uttarakhand,1,0,0,0,1,UTTARAKHAND
228,3/19/2020,6:00 PM,West Bengal,1,0,0,0,1,WEST BENGAL
229,3/20/2020,6:00 PM,Andhra Pradesh,3,0,0,0,3,ANDHRA PRADESH
230,3/20/2020,6:00 PM,Chhattisgarh,1,0,0,0,1,CHHATTISGARH
231,3/20/2020,6:00 PM,Delhi,16,1,5,1,17,DELHI
232,3/20/2020,6:00 PM,Gujarat,5,0,0,0,5,GUJARAT
233,3/20/2020,6:00 PM,Haryana,3,14,0,0,17,HARYANA
234,3/20/2020,6:00 PM,Karnataka,15,0,1,1,15,KARNATAKA
235,3/20/2020,6:00 PM,Kerala,26,2,3,0,28,KERALA
236,3/20/2020,6:00 PM,Maharashtra,49,3,0,1,52,MAHARASHTRA
237,3/20/2020,6:00 PM,Odisha,2,0,0,0,2,ODISHA
238,3/20/2020,6:00 PM,Puducherry,1,0,0,0,1,PUDUCHERRY
239,3/20/2020,6:00 PM,Punjab,2,0,0,1,2,PUNJAB
240,3/20/2020,6:00 PM,Rajasthan,15,2,3,0,17,RAJASTHAN
241,3/20/2020,6:00 PM,Tamil Nadu,3,0,1,0,3,TAMIL NADU
242,3/20/2020,6:00 PM,Telengana,8,9,1,0,17,TELENGANA
243,3/20/2020,6:00 PM,Chandigarh,1,0,0,0,1,CHANDIGARH
244,3/20/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4,JAMMU AND KASHMIR
245,3/20/2020,6:00 PM,Ladakh,10,0,0,0,10,LADAKH
246,3/20/2020,6:00 PM,Uttar Pradesh,22,1,9,0,23,UTTAR PRADESH
247,3/20/2020,6:00 PM,Uttarakhand,3,0,0,0,3,UTTARAKHAND
248,3/20/2020,6:00 PM,West Bengal,2,0,0,0,2,WEST BENGAL
249,3/21/2020,6:00 PM,Andhra Pradesh,3,0,0,0,3,ANDHRA PRADESH
250,3/21/2020,6:00 PM,Chhattisgarh,1,0,0,0,1,CHHATTISGARH
251,3/21/2020,6:00 PM,Delhi,25,1,5,1,26,DELHI
252,3/21/2020,6:00 PM,Gujarat,7,0,0,0,7,GUJARAT
253,3/21/2020,6:00 PM,Haryana,3,14,0,0,17,HARYANA
254,3/21/2020,6:00 PM,Himachal Pradesh,2,0,0,0,2,HIMACHAL PRADESH
255,3/21/2020,6:00 PM,Karnataka,15,0,1,1,15,KARNATAKA
256,3/21/2020,6:00 PM,Kerala,33,7,3,0,40,KERALA
257,3/21/2020,6:00 PM,Madhya Pradesh,4,0,0,0,4,MADHYA PRADESH
258,3/21/2020,6:00 PM,Maharashtra,60,3,0,1,63,MAHARASHTRA
259,3/21/2020,6:00 PM,Odisha,2,0,0,0,2,ODISHA
260,3/21/2020,6:00 PM,Puducherry,1,0,0,0,1,PUDUCHERRY
261,3/21/2020,6:00 PM,Punjab,13,0,0,1,13,PUNJAB
262,3/21/2020,6:00 PM,Rajasthan,15,2,3,0,17,RAJASTHAN
263,3/21/2020,6:00 PM,Tamil Nadu,3,0,1,0,3,TAMIL NADU
264,3/21/2020,6:00 PM,Telengana,10,11,1,0,21,TELENGANA
265,3/21/2020,6:00 PM,Chandigarh,1,0,0,0,1,CHANDIGARH
266,3/21/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4,JAMMU AND KASHMIR
267,3/21/2020,6:00 PM,Ladakh,13,0,0,0,13,LADAKH
268,3/21/2020,6:00 PM,Uttar Pradesh,23,1,9,0,24,UTTAR PRADESH
269,3/21/2020,6:00 PM,Uttarakhand,3,0,0,0,3,UTTARAKHAND
270,3/21/2020,6:00 PM,West Bengal,3,0,0,0,3,WEST BENGAL
271,3/22/2020,6:00 PM,Andhra Pradesh,5,0,0,0,5,ANDHRA PRADESH
272,3/22/2020,6:00 PM,Bihar,2,0,0,1,2,BIHAR
273,3/22/2020,6:00 PM,Chhattisgarh,1,0,0,0,1,CHHATTISGARH
274,3/22/2020,6:00 PM,Delhi,28,1,5,1,29,DELHI
275,3/22/2020,6:00 PM,Gujarat,18,0,0,1,18,GUJARAT
276,3/22/2020,6:00 PM,Haryana,7,14,0,0,21,HARYANA
277,3/22/2020,6:00 PM,Himachal Pradesh,2,0,0,0,2,HIMACHAL PRADESH
278,3/22/2020,6:00 PM,Karnataka,26,0,2,1,26,KARNATAKA
279,3/22/2020,6:00 PM,Kerala,45,7,3,0,52,KERALA
280,3/22/2020,6:00 PM,Madhya Pradesh,4,0,0,0,4,MADHYA PRADESH
281,3/22/2020,6:00 PM,Maharashtra,64,3,0,2,67,MAHARASHTRA
282,3/22/2020,6:00 PM,Odisha,2,0,0,0,2,ODISHA
283,3/22/2020,6:00 PM,Puducherry,1,0,0,0,1,PUDUCHERRY
284,3/22/2020,6:00 PM,Punjab,21,0,0,1,21,PUNJAB
285,3/22/2020,6:00 PM,Rajasthan,22,2,3,0,24,RAJASTHAN
286,3/22/2020,6:00 PM,Tamil Nadu,5,2,1,0,7,TAMIL NADU
287,3/22/2020,6:00 PM,Telengana,11,11,1,0,22,TELENGANA
288,3/22/2020,6:00 PM,Chandigarh,5,0,0,0,5,CHANDIGARH
289,3/22/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4,JAMMU AND KASHMIR
290,3/22/2020,6:00 PM,Ladakh,13,0,0,0,13,LADAKH
291,3/22/2020,6:00 PM,Uttar Pradesh,26,1,9,0,27,UTTAR PRADESH
292,3/22/2020,6:00 PM,Uttarakhand,3,0,0,0,3,UTTARAKHAND
293,3/22/2020,6:00 PM,West Bengal,4,0,0,0,4,WEST BENGAL
294,3/23/2020,6:00 PM,Andhra Pradesh,7,0,0,0,7,ANDHRA PRADESH
295,3/23/2020,6:00 PM,Bihar,2,0,0,1,2,BIHAR
296,3/23/2020,6:00 PM,Chhattisgarh,1,0,0,0,1,CHHATTISGARH
297,3/23/2020,6:00 PM,Delhi,28,1,5,1,29,DELHI
298,3/23/2020,6:00 PM,Gujarat,29,0,0,1,29,GUJARAT
299,3/23/2020,6:00 PM,Haryana,12,14,0,0,26,HARYANA
300,3/23/2020,6:00 PM,Himachal Pradesh,2,0,0,0,2,HIMACHAL PRADESH
301,3/23/2020,6:00 PM,Karnataka,33,0,2,1,33,KARNATAKA
302,3/23/2020,6:00 PM,Kerala,60,7,3,0,67,KERALA
303,3/23/2020,6:00 PM,Madhya Pradesh,6,0,0,0,6,MADHYA PRADESH
304,3/23/2020,6:00 PM,Maharashtra,71,3,0,2,74,MAHARASHTRA
305,3/23/2020,6:00 PM,Odisha,2,0,0,0,2,ODISHA
306,3/23/2020,6:00 PM,Puducherry,1,0,0,0,1,PUDUCHERRY
307,3/23/2020,6:00 PM,Punjab,21,0,0,1,21,PUNJAB
308,3/23/2020,6:00 PM,Rajasthan,26,2,3,0,28,RAJASTHAN
309,3/23/2020,6:00 PM,Tamil Nadu,7,2,1,0,9,TAMIL NADU
310,3/23/2020,6:00 PM,Telengana,22,10,1,0,32,TELENGANA
311,3/23/2020,6:00 PM,Chandigarh,6,0,0,0,6,CHANDIGARH
312,3/23/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4,JAMMU AND KASHMIR
313,3/23/2020,6:00 PM,Ladakh,13,0,0,0,13,LADAKH
314,3/23/2020,6:00 PM,Uttar Pradesh,30,1,9,0,31,UTTAR PRADESH
315,3/23/2020,6:00 PM,Uttarakhand,3,0,0,0,3,UTTARAKHAND
316,3/23/2020,6:00 PM,West Bengal,7,0,0,0,7,WEST BENGAL
317,3/24/2020,6:00 PM,Andhra Pradesh,8,0,0,0,8,ANDHRA PRADESH
318,3/24/2020,6:00 PM,Bihar,3,0,0,1,3,BIHAR
319,3/24/2020,6:00 PM,Chhattisgarh,1,0,0,0,1,CHHATTISGARH
320,3/24/2020,6:00 PM,Delhi,29,1,6,1,30,DELHI
321,3/24/2020,6:00 PM,Gujarat,32,1,0,1,33,GUJARAT
322,3/24/2020,6:00 PM,Haryana,14,14,11,0,28,HARYANA
323,3/24/2020,6:00 PM,Himachal Pradesh,3,0,0,1,3,HIMACHAL PRADESH
324,3/24/2020,6:00 PM,Karnataka,37,0,3,1,37,KARNATAKA
325,3/24/2020,6:00 PM,Kerala,87,8,4,0,95,KERALA
326,3/24/2020,6:00 PM,Madhya Pradesh,7,0,0,0,7,MADHYA PRADESH
327,3/24/2020,6:00 PM,Maharashtra,86,3,0,2,89,MAHARASHTRA
328,3/24/2020,6:00 PM,Manipur,1,0,0,0,1,MANIPUR
329,3/24/2020,6:00 PM,Odisha,2,0,0,0,2,ODISHA
330,3/24/2020,6:00 PM,Puducherry,1,0,0,0,1,PUDUCHERRY
331,3/24/2020,6:00 PM,Punjab,29,0,0,1,29,PUNJAB
332,3/24/2020,6:00 PM,Rajasthan,30,2,3,0,32,RAJASTHAN
333,3/24/2020,6:00 PM,Tamil Nadu,13,2,1,0,15,TAMIL NADU
334,3/24/2020,6:00 PM,Telengana,25,10,1,0,35,TELENGANA
335,3/24/2020,6:00 PM,Chandigarh,7,0,0,0,7,CHANDIGARH
336,3/24/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4,JAMMU AND KASHMIR
337,3/24/2020,6:00 PM,Ladakh,13,0,0,0,13,LADAKH
338,3/24/2020,6:00 PM,Uttar Pradesh,32,1,11,0,33,UTTAR PRADESH
